Date,Open,High,Low,Close,Volume
25-Sep-15,50.17,50.72,49.87,50.55,22341773
24-Sep-15,49.66,49.75,48.75,49.13,32241013
23-Sep-15,50.40,50.65,49.95,50.12,13680224
22-Sep-15,49.95,50.45,49.86,50.38,19610639
21-Sep-15,50.82,51.10,50.36,50.71,14936595
18-Sep-15,50.70,50.84,50.11,50.29,33404568
17-Sep-15,52.61,53.00,51.38,51.65,24075192
16-Sep-15,52.26,52.71,51.79,52.59,17369472
15-Sep-15,51.18,52.29,51.06,52.00,17858941
14-Sep-15,51.08,51.18,50.68,50.98,11426957
11-Sep-15,51.01,51.15,50.63,51.10,12001784
10-Sep-15,50.56,51.50,50.29,51.07,17457657
9-Sep-15,52.40,52.62,50.73,50.88,16930921
8-Sep-15,51.40,51.88,51.02,51.65,17160164
4-Sep-15,51.13,51.30,50.12,50.59,19054523
3-Sep-15,51.96,52.71,51.59,51.79,15708685
2-Sep-15,51.81,52.03,50.99,51.75,17515830
1-Sep-15,52.40,52.40,50.29,50.94,28621585
31-Aug-15,53.13,53.66,52.72,53.48,20629022
28-Aug-15,53.09,53.56,52.82,53.28,17205353
27-Aug-15,53.19,53.62,52.35,53.44,26467336
26-Aug-15,51.41,52.38,50.25,52.28,30721887
25-Aug-15,52.70,52.75,49.88,49.88,27809203
24-Aug-15,49.13,52.53,47.10,50.34,37766989
21-Aug-15,54.40,55.05,53.58,53.60,33437526
20-Aug-15,56.03,56.31,55.33,55.33,28455508
19-Aug-15,57.18,57.52,56.56,57.00,17673210
18-Aug-15,57.67,57.92,57.40,57.55,11593241
17-Aug-15,57.16,57.85,56.99,57.77,11140334
14-Aug-15,57.18,57.72,57.18,57.59,8864981
13-Aug-15,57.03,57.60,56.50,57.33,15837852
12-Aug-15,56.94,57.24,55.31,56.91,27569091
11-Aug-15,58.01,58.25,57.24,57.64,18897619
10-Aug-15,58.26,58.84,58.21,58.74,10812191
7-Aug-15,58.18,58.61,57.44,57.91,11933951
6-Aug-15,58.82,58.96,57.90,58.10,14707408
5-Aug-15,58.94,59.25,58.60,58.74,10630976
4-Aug-15,58.37,58.87,58.29,58.47,10984522
3-Aug-15,58.62,58.67,57.95,58.44,10508705
31-Jul-15,58.79,58.84,58.37,58.46,12529315
30-Jul-15,58.73,59.05,58.30,58.88,11202069
29-Jul-15,58.56,59.15,58.43,58.92,14460768
28-Jul-15,58.45,58.50,57.78,58.37,12566708
27-Jul-15,57.90,58.33,57.43,57.96,20378381
24-Jul-15,59.70,59.77,58.33,58.70,24760756
23-Jul-15,60.29,60.95,59.73,59.87,29432315
22-Jul-15,59.12,60.53,59.03,60.34,30156194
21-Jul-15,58.80,59.31,58.80,59.10,21541708
20-Jul-15,58.96,59.30,58.63,58.85,16016635
17-Jul-15,58.53,58.89,58.34,58.75,21055333
16-Jul-15,57.90,58.65,57.71,58.59,41084043
15-Jul-15,56.26,56.79,55.95,56.46,20470527
14-Jul-15,55.37,56.12,55.24,55.91,18174852
13-Jul-15,55.04,55.69,55.04,55.54,18803919
10-Jul-15,54.55,54.79,53.71,54.56,16578662
9-Jul-15,53.84,54.15,53.60,53.71,23540424
8-Jul-15,53.81,53.81,52.77,52.80,26169423
7-Jul-15,54.97,55.05,53.03,54.50,32011242
6-Jul-15,54.79,55.25,54.50,55.08,12706190
2-Jul-15,55.43,55.85,55.07,55.37,12062781
1-Jul-15,56.01,56.01,55.24,55.68,17606104
30-Jun-15,55.52,55.68,54.80,55.24,17737444
29-Jun-15,55.04,55.62,54.85,54.88,22260419
26-Jun-15,56.47,56.65,56.10,56.34,12148270
25-Jun-15,56.99,57.06,56.18,56.19,12176170
24-Jun-15,56.66,56.99,56.50,56.66,19235533
23-Jun-15,57.28,57.64,57.12,57.39,16216064
22-Jun-15,56.86,57.21,56.76,56.95,13011615
19-Jun-15,56.51,56.81,56.17,56.23,18840468
18-Jun-15,56.66,56.88,55.98,56.76,18739307
17-Jun-15,57.07,57.15,56.38,56.54,17801874
16-Jun-15,56.52,57.13,56.36,57.07,13563808
15-Jun-15,56.62,56.94,56.11,56.65,17698443
12-Jun-15,57.01,57.25,56.67,57.11,13860635
11-Jun-15,57.20,57.50,56.93,57.21,19187109
