"","X.1","X","ï..Date","Open","High","Low","Close","Volume","V7"
"28",28,28,"18-Aug-15",255.38,260.95,253.56,-0.0222227058261097,-0.0222227058261097,-0.0222227058261097
"29",29,29,"17-Aug-15",255.56,256.59,250.51,-0.0475457918534017,-0.0475457918534017,-0.0475457918534017
"30",30,30,"14-Aug-15",247.24,247.93,241.77,-0.00263559020908131,-0.00263559020908131,-0.00263559020908131
"31",31,31,"13-Aug-15",239.86,246.48,239.12,-0.0180582422355818,-0.0180582422355818,-0.0180582422355818
"32",32,32,"12-Aug-15",235,239.77,232.74,-0.00336459921227112,-0.00336459921227112,-0.00336459921227112
"33",33,33,"11-Aug-15",237.15,239.3,234.44,0.0157575724963041,0.0157575724963041,0.0157575724963041
"34",34,34,"10-Aug-15",238.15,242.97,236.05,0.00566526895154883,0.00566526895154883,0.00566526895154883
"35",35,35,"7-Aug-15",243.58,243.73,238.39,0.0148169049928817,0.0148169049928817,0.0148169049928817
"36",36,36,"6-Aug-15",249.54,255,236.12,0.0930434729712455,0.0930434729712455,0.0930434729712455
"37",37,37,"5-Aug-15",263.58,271,260.4,-0.0143549378723379,-0.0143549378723379,-0.0143549378723379
"38",38,38,"4-Aug-15",260.01,266.72,258.34,-0.0239052179951004,-0.0239052179951004,-0.0239052179951004
"39",39,39,"3-Aug-15",266.29,266.71,257.07,0.0234168908813641,0.0234168908813641,0.0234168908813641
"40",40,40,"31-Jul-15",267.6,269.36,265.12,0.00240177246089215,0.00240177246089215,0.00240177246089215
"41",41,41,"30-Jul-15",262.69,266.94,262.11,-0.0111947796588848,-0.0111947796588848,-0.0111947796588848
"42",42,42,"29-Jul-15",264.27,267.89,262,0.00378329749083705,0.00378329749083705,0.00378329749083705
"43",43,43,"28-Jul-15",255.75,265.4,251.84,-0.0456213362735105,-0.0456213362735105,-0.0456213362735105
"44",44,44,"27-Jul-15",262.43,264.43,250.79,0.047846786525304,0.047846786525304,0.047846786525304
"45",45,45,"24-Jul-15",267.38,271.09,263.92,0.00672164149908634,0.00672164149908634,0.00672164149908634
"46",46,46,"23-Jul-15",269.65,269.9,265.27,0.00250434653474421,0.00250434653474421,0.00250434653474421
"47",47,47,"22-Jul-15",261.27,269.44,260.86,-0.00411492425615266,-0.00411492425615266,-0.00411492425615266
"48",48,48,"21-Jul-15",270.05,273.5,266.55,0.0564417680447788,0.0564417680447788,0.0564417680447788
"49",49,49,"20-Jul-15",275,286.65,272.54,-0.0272946628837249,-0.0272946628837249,-0.0272946628837249
"50",50,50,"17-Jul-15",272.5,275.54,268.25,-0.0294845313522766,-0.0294845313522766,-0.0294845313522766
"51",51,51,"16-Jul-15",264.22,267.2,263.16,-0.0133632278121673,-0.0133632278121673,-0.0133632278121673
"52",52,52,"15-Jul-15",266.74,267.49,262.08,0.00949344295925998,0.00949344295925998,0.00949344295925998
"53",53,53,"14-Jul-15",262.1,265.99,260.51,-0.0132246485063929,-0.0132246485063929,-0.0132246485063929
"54",54,54,"13-Jul-15",262.25,262.55,256.05,-0.0115479597548438,-0.0115479597548438,-0.0115479597548438
"55",55,55,"10-Jul-15",262.22,263,257.82,-0.00475758531745194,-0.00475758531745194,-0.00475758531745194
"56",56,56,"9-Jul-15",259.08,262.95,256.79,-0.0115427892091826,-0.0115427892091826,-0.0115427892091826
"57",57,57,"8-Jul-15",259.32,260.8,254.31,0.0494324489327684,0.0494324489327684,0.0494324489327684
"58",58,58,"7-Jul-15",275,275.2,260.77,0.0432499837938167,0.0432499837938167,0.0432499837938167
"59",59,59,"6-Jul-15",278.88,281.69,276.3,0.0010719263541131,0.0010719263541131,0.0010719263541131
"60",60,60,"2-Jul-15",280.2,282.45,273.31,-0.039592184182813,-0.039592184182813,-0.039592184182813
"61",61,61,"1-Jul-15",271.11,272.62,267.85,-0.003312185533022,-0.003312185533022,-0.003312185533022
"62",62,62,"30-Jun-15",264.8,270.92,264,-0.0235358227484197,-0.0235358227484197,-0.0235358227484197
"63",63,63,"29-Jun-15",261.95,265.95,260.7,0.0191648435281649,0.0191648435281649,0.0191648435281649
"64",64,64,"26-Jun-15",268.89,269.11,266,0.00634472532232711,0.00634472532232711,0.00634472532232711
"65",65,65,"25-Jun-15",266.45,271.41,265.25,-0.0135592758350501,-0.0135592758350501,-0.0135592758350501
"66",66,66,"24-Jun-15",266.98,267.35,263.72,0.00938374876026851,0.00938374876026851,0.00938374876026851
"67",67,67,"23-Jun-15",260.32,268,258.57,-0.0298812661525751,-0.0298812661525751,-0.0298812661525751
"68",68,68,"22-Jun-15",262.15,264.4,255.69,0.0104155641955086,0.0104155641955086,0.0104155641955086
"69",69,69,"19-Jun-15",262.4,263.8,260.1,-0.00236460827188235,-0.00236460827188235,-0.00236460827188235
"70",70,70,"18-Jun-15",262,263.46,260.02,-0.00566725621747007,-0.00566725621747007,-0.00566725621747007
"71",71,71,"17-Jun-15",252.17,264.36,252.02,-0.028393627475527,-0.028393627475527,-0.028393627475527
"72",72,72,"16-Jun-15",250.13,253.44,249.1,-0.0108839207477728,-0.0108839207477728,-0.0108839207477728
"73",73,73,"15-Jun-15",249.7,251.28,246.01,0.00123735222444731,0.00123735222444731,0.00123735222444731
"74",74,74,"12-Jun-15",250.21,253.46,250.21,0.00286795655650432,0.00286795655650432,0.00286795655650432
"75",75,75,"11-Jun-15",253.26,254.37,250.43,-0.00282806744822017,-0.00282806744822017,-0.00282806744822017
"76",76,76,"10-Jun-15",251.9,254,248.5,0.0209204393153148,0.0209204393153148,0.0209204393153148
